subcategory,cv,volatility_group,month_minus_3,month_minus_2,month_minus_1,prediction,historical_avg,actual,mape
鯰魚片(鱈斑魚片),0.5797442681353792,中波動,80.0,20.0,0.0,45.50000000000001,47.5,0,999
台灣薄鹽鯖魚片,0.5291502622129182,中波動,72.0,84.0,0.0,62.03999999999999,60.0,0,999
干貝酥,0.7048416544249495,中波動,7.0,11.0,0.0,7.926769099096298,9.411764705882353,0,999
烏魚塊,0.2,低波動,0.0,0.0,0.0,0.0,50.0,0,0
無骨白帶魚片,0.7317744373510828,中波動,0.0,0.0,0.0,0.0,36.0,0,0
肉排,0.6803115134023113,中波動,4.0,1.0,0.0,3.6043605787111135,8.01764705882353,0,999
廣島裹粉炸牡蠣,1.4473846032911846,高波動,0.0,0.0,0.0,0.0,42.333333333333336,0,0
鯖魚剖半真空,0.0,低波動,12.0,0.0,0.0,0.0,12.0,0,0
金目鱸魚整尾,1.0449848530937023,高波動,0.0,0.0,0.0,0.0,34.666666666666664,0,0
塔香腿排,0.48926524596017135,中波動,10.0,12.0,0.0,7.879748619804949,5.536470588235294,0,999
鮭魚片,0.3871528157974119,低波動,2.0,7.0,5.0,6.462163257014382,7.333333333333333,0,999
鮭魚碎肉,0.7364420810732574,中波動,27.0,20.0,0.0,16.971064999999996,14.0,0,999
鰹魚輪切,1.1200906992753643,高波動,5.0,0.0,0.0,0.0,9.375,0,0
花枝丸,0.3005281355554742,低波動,15.0,0.0,0.0,0.0,13.8,0,0
芋丸,1.0697871023920809,高波動,2.0,3.0,0.0,3.0,6.0,0,999
鯖魚一夜干,0.4058513707872386,中波動,0.0,6.0,0.0,14.35,13.2,0,999
大比目魚片,0.6682519366882328,中波動,5.0,5.0,0.0,10.0,10.4,0,999
特級花枝丸,0.7298403553714689,中波動,0.0,5.0,1.0,3.0,3.0625,0,999
冷凍越南蠔肉,2.050650767148061,高波動,3.0,1.2,0.0,1.2,4.95,0,999
虱目魚頭,0.8935065245788755,高波動,21.0,0.0,0.0,0.0,9.0,0,0
香魚,0.7331135043265276,中波動,0.0,0.0,0.0,0.0,7.25,0,0
鮭魚頭,0.9921567416492215,高波動,0.0,2.0,0.0,8.0,8.0,0,999
柳葉魚爆卵,1.4958620610822122,高波動,0.0,0.0,0.0,0.0,7.333333333333333,0,0
蛤蜊肉,0.49180788932265007,中波動,0.0,0.0,0.0,0.0,2.2222222222222223,0,0
燒烤鯖魚片,1.360897063089832,高波動,0.0,0.0,0.0,0.0,4.666666666666667,0,0
虱目魚胗,0.989743318610787,高波動,0.0,0.0,0.0,0.0,4.666666666666667,0,0
